freq(GHz)  ch1  ch2  ch3  ch4  ch5  ch6  ch7  ch8 
     10.6903095     -0.1738246      0.0108246      0.0000000      0.0000000      0.4465961      0.8278289     -0.2247017     -0.0739389
     10.7022972     -0.1818948      0.0117527      0.0000000      0.0000000      0.4712451      0.8735191     -0.2352731     -0.0770305
     10.7142859     -0.1816129      0.0117345      0.0000000      0.0000000      0.4705151      0.8721660     -0.2349085     -0.0769111
     10.7262735     -0.2123042     -0.0112150      0.0000000      0.0000000      0.4851508      0.8907687     -0.2785689     -0.0868009
     10.7382622     -0.2119717     -0.0111975      0.0000000      0.0000000      0.4843910      0.8893736     -0.2781326     -0.0866650
     10.7502499     -0.2116396     -0.0111799      0.0000000      0.0000000      0.4836324      0.8879808     -0.2776969     -0.0865292
     10.7622375     -0.1790252      0.0000604      0.0000000      0.0000000      0.5044701      0.9262403     -0.2381133     -0.0646244
     10.7742262     -0.1787412      0.0000603      0.0000000      0.0000000      0.5036699      0.9247709     -0.2377355     -0.0645219
     10.7862139     -0.1732548      0.0178043      0.0000000      0.0000000      0.4727678      0.9030005     -0.2342860     -0.0788646
     10.7982016     -0.1729718      0.0177752      0.0000000      0.0000000      0.4719955      0.9015253     -0.2339033     -0.0787358
     10.8101902     -0.1726853      0.0177457      0.0000000      0.0000000      0.4712139      0.9000324     -0.2335159     -0.0786054
     10.8221779     -0.1485051      0.0220279      0.0000000      0.0000000      0.4650395      0.8882391     -0.2032521     -0.0625264
     10.8341656     -0.1482536      0.0219907      0.0000000      0.0000000      0.4642523      0.8867357     -0.2029080     -0.0624205
     10.8461542     -0.1553358     -0.0023325      0.0000000      0.0000000      0.4762611      0.9135301     -0.2134977     -0.0687304
     10.8581419     -0.1551175     -0.0023293      0.0000000      0.0000000      0.4755920      0.9122466     -0.2131977     -0.0686339
     10.8701296     -0.1549017     -0.0023260      0.0000000      0.0000000      0.4749303      0.9109775     -0.2129011     -0.0685384
     10.8821182     -0.1400464      0.0011808      0.0000000      0.0000000      0.4618382      0.8858650     -0.1936770     -0.0591701
     10.8941059     -0.1398544      0.0011791      0.0000000      0.0000000      0.4612048      0.8846501     -0.1934115     -0.0590890
     10.9060936     -0.1605484     -0.0098130      0.0000000      0.0000000      0.4190837      0.8038564     -0.2179718     -0.0773381
     10.9180822     -0.1675477      0.0056114      0.0000000      0.0000000      0.4203486      0.7926661     -0.2439708     -0.0757629
     10.9300699     -0.1673196      0.0056038      0.0000000      0.0000000      0.4197762      0.7915868     -0.2436386     -0.0756597
     10.9420576     -0.1556001      0.0163070      0.0000000      0.0000000      0.4936561      0.9309046     -0.2316287     -0.0614565
     10.9540462     -0.1553488      0.0162807      0.0000000      0.0000000      0.4928589      0.9294013     -0.2312546     -0.0613573
     10.9660339     -0.1507643      0.0165500      0.0000000      0.0000000      0.4852937      0.9151354     -0.2247716     -0.0589449
     10.9780216     -0.1389813      0.0280155      0.0000000      0.0000000      0.4929472      0.9181934     -0.2096478     -0.0499350
     10.9900103     -0.1387476      0.0279684      0.0000000      0.0000000      0.4921184      0.9166498     -0.2092953     -0.0498510
     11.0019979     -0.1397503      0.0179624      0.0000000      0.0000000      0.4039558      0.7524326     -0.2061812     -0.0579638
     11.0139866     -0.1395123      0.0179318      0.0000000      0.0000000      0.4032678      0.7511512     -0.2058301     -0.0578651
     11.0259743     -0.1383388      0.0262831      0.0000000      0.0000000      0.4762660      0.8871222     -0.2079522     -0.0509215
     11.0379620     -0.1441258      0.0111438      0.0000000      0.0000000      0.4604843      0.8556710     -0.2144626     -0.0652098
     11.0499496     -0.1439132      0.0111274      0.0000000      0.0000000      0.4598053      0.8544093     -0.2141463     -0.0651137
     11.0619383     -0.1526020      0.0067883      0.0000000      0.0000000      0.4405040      0.8185438     -0.2246253     -0.0728050
     11.0739260     -0.1523783      0.0067784      0.0000000      0.0000000      0.4398586      0.8173444     -0.2242960     -0.0726982
     11.0859146     -0.1586228      0.0030652      0.0000000      0.0000000      0.4204008      0.7811880     -0.2315365     -0.0786722
     11.0979023     -0.1595270      0.0020583      0.0000000      0.0000000      0.4203811      0.7917798     -0.2109181     -0.0775922
     11.1098900     -0.1592803      0.0020551      0.0000000      0.0000000      0.4197309      0.7905550     -0.2105919     -0.0774722
     11.1218777     -0.1568137      0.0026386      0.0000000      0.0000000      0.4190719      0.7893139     -0.2075435     -0.0757859
     11.1338663     -0.1648696      0.0048303      0.0000000      0.0000000      0.4601186      0.8666245     -0.2189170     -0.0780535
     11.1458540     -0.1660835      0.0037739      0.0000000      0.0000000      0.4531403      0.8534810     -0.2201511     -0.0794917
     11.1578426     -0.1676375      0.0171646      0.0000000      0.0000000      0.4802067      0.8592997     -0.2256228     -0.0790891
     11.1698303     -0.1674053      0.0171407      0.0000000      0.0000000      0.4795412      0.8581089     -0.2253103     -0.0789795
     11.1818180     -0.1546877      0.0162380      0.0000000      0.0000000      0.4469170      0.7997298     -0.2083468     -0.0726823
     11.1938057     -0.1544745      0.0162156      0.0000000      0.0000000      0.4463011      0.7986277     -0.2080597     -0.0725822
     11.2057943     -0.1462780      0.0245808      0.0000000      0.0000000      0.5105380      0.9135756     -0.2005577     -0.0618649
     11.2177820     -0.1460754      0.0245467      0.0000000      0.0000000      0.5098311      0.9123107     -0.2002798     -0.0617792
     11.2297707     -0.1492139      0.0107032      0.0000000      0.0000000      0.4850613      0.8993625     -0.1858187     -0.0592069
     11.2417583     -0.1474011      0.0060834      0.0000000      0.0000000      0.4356841      0.8078112     -0.1822969     -0.0621856
     11.2537460     -0.1471824      0.0060745      0.0000000      0.0000000      0.4350381      0.8066134     -0.1820265     -0.0620934
     11.2657337     -0.1547538      0.0016953      0.0000000      0.0000000      0.4119785      0.7638580     -0.1900692     -0.0691518
     11.2777224     -0.1545193      0.0016928      0.0000000      0.0000000      0.4113543      0.7627007     -0.1897812     -0.0690471
     11.2897100     -0.1539041     -0.0019503      0.0000000      0.0000000      0.4176171      0.7648326     -0.2042846     -0.0608174
     11.3016987     -0.1821688     -0.0091727      0.0000000      0.0000000      0.4257091      0.7796524     -0.2393005     -0.0782294
     11.3136864     -0.1818893     -0.0091586      0.0000000      0.0000000      0.4250560      0.7784562     -0.2389333     -0.0781094
     11.3256741     -0.1614946     -0.0014270      0.0000000      0.0000000      0.4444055      0.8138934     -0.2145855     -0.0632534
     11.3376617     -0.1612480     -0.0014248      0.0000000      0.0000000      0.4437271      0.8126509     -0.2142580     -0.0631569
     11.3496504     -0.1704717     -0.0035184      0.0000000      0.0000000      0.4331940      0.8206213     -0.2211349     -0.0749034
     11.3616381     -0.1792863     -0.0034361      0.0000000      0.0000000      0.4581496      0.8678960     -0.2326689     -0.0785627
     11.3736267     -0.1790026     -0.0034306      0.0000000      0.0000000      0.4574248      0.8665230     -0.2323008     -0.0784384
     11.3856144     -0.1385840      0.0041888      0.0000000      0.0000000      0.4203655      0.7963197     -0.1824340     -0.0551893
